<<<<<<< HEAD
city_y,id,log_price,price,accommodates,bathrooms,cleaning_fee,latitude,longitude,number_of_reviews,review_scores_rating,zip,bedrooms,beds,zip_lat,zip_lng,population,density
Redondo Beach,10284850.5,4.60014501806134,2.0,1.0,1.0,33.84432605948895,-118.38079907653707,17.5,97.0,90277.0,1.0,1.0,33.83077,-118.38458,35293.0,3804.3
Glendale,13329746.0,4.605170185988092,2.0,1.0,1.0,34.160307051553005,-118.25856092640119,16.5,97.5,91204.0,1.0,1.0,34.167840000000005,-118.26098,22781.0,3736.0
South Pasadena,11987862.0,4.605170185988092,3.0,1.0,1.0,34.11289997212642,-118.1540954389922,13.0,98.0,91030.0,1.0,2.0,34.1102,-118.15735,25616.0,2899.5
Sherman Oaks,12289989.5,4.653960350157523,3.0,1.0,1.0,34.15385485633423,-118.4429516210055,9.0,99.0,91423.0,1.0,1.0,34.14852,-118.43271999999999,30991.0,2742.5
Porter Ranch,8933294.0,4.74493212836325,4.0,1.0,1.0,34.279446929176544,-118.55584385360771,14.0,97.0,91326.0,2.0,3.0,34.28048,-118.55758,33708.0,1595.1
Hawaiian Gardens,9032751.0,4.74493212836325,6.0,2.0,1.0,33.835163192965965,-118.07416394043669,30.0,99.0,90716.0,3.0,3.0,33.83032,-118.073,14184.0,5881.1
La Canada Flintridge,10322206.5,4.782256092848399,3.0,1.0,1.0,34.20070891960606,-118.20037802502515,30.0,97.0,91011.0,1.0,1.5,34.22161,-118.20516,20280.0,660.6
Studio City,13326222.5,4.787491742782046,3.0,1.0,1.0,34.14183086241077,-118.39142842592642,12.0,98.0,91604.0,1.0,1.0,34.13882,-118.39353,29034.0,2176.4
Signal Hill,10253116.0,4.8283137373023015,4.0,2.0,1.0,33.79413317042948,-118.16171660214994,19.0,95.0,90755.0,2.0,2.0,33.802890000000005,-118.16771000000001,11074.0,1962.2
West Hills,13936394.0,4.851908178703528,5.5,2.0,1.0,34.19639303729055,-118.63848303459747,14.5,98.5,91307.0,2.0,3.5,34.201640000000005,-118.66216000000001,24474.0,1172.5
Santa Monica,12470816.0,4.859812404361672,2.0,1.0,1.0,34.01937394005886,-118.48525191248173,20.0,96.0,90404.0,1.0,1.0,34.01546,-118.47368,24525.0,3967.1
Playa Vista,13570789.0,4.90527477843843,3.0,1.0,1.0,33.973750896887964,-118.42258749545546,7.0,93.0,90094.0,1.0,2.0,33.975390000000004,-118.417,5464.0,3460.4
Venice,12225622.0,4.941642422609304,3.0,1.0,1.0,33.99338749488956,-118.4677111897789,33.0,96.0,90291.0,1.0,1.0,33.99437,-118.46343999999999,28341.0,4379.7
Playa Del Rey,10446926.0,4.955827057601262,3.0,1.0,1.0,33.95840718849657,-118.44361780684565,15.0,96.0,90293.0,1.0,1.0,33.95033,-118.43721000000001,12132.0,1638.6
West Hollywood,10072583.5,4.976733742420574,2.0,1.0,1.0,34.08913672929469,-118.37994764514784,19.0,97.0,90069.0,1.0,1.0,34.09386,-118.38171000000001,20483.0,3740.7
Beverly Hills,10140164.0,5.003946305945459,2.0,1.0,1.0,34.06780639051471,-118.39797349034815,13.0,97.0,90211.0,1.0,1.0,34.06496,-118.40193000000001,11555.0,4649.4
Topanga,13142676.0,5.010635294096256,4.0,1.0,1.0,34.10412254431424,-118.60164135692327,33.0,98.0,90290.0,1.0,2.0,34.09588,-118.60708000000001,6368.0,122.6
Hermosa Beach,14485603.5,5.043425116919247,2.5,1.0,1.0,33.86169609655596,-118.39866253446209,13.0,97.5,90254.0,1.0,1.5,33.86546,-118.39665,19506.0,5278.8
Marina Del Rey,12962229.0,5.111987788356544,4.0,1.0,1.0,33.979115510476845,-118.45998449875223,14.0,96.0,90292.0,1.0,2.0,33.97831,-118.44761000000001,21576.0,4091.9
Palos Verdes Peninsula,11432740.5,5.114142378788419,4.5,1.0,1.0,33.78732643743939,-118.36382337229185,23.0,98.0,90274.0,1.0,2.0,33.77734,-118.36893,25209.0,813.1
Pacific Palisades,12025202.0,5.1647859739235145,4.0,1.0,1.0,34.0440720950422,-118.53943214433504,15.0,98.0,90272.0,1.0,2.0,34.07991,-118.54218999999999,22986.0,388.7
Manhattan Beach,12232134.0,5.416100402204419,4.0,1.0,1.0,33.896817344483416,-118.41158023069157,13.0,97.0,90266.0,1.0,2.0,33.8895,-118.39718,35135.0,3446.3
Mission Hills,9403751.0,5.68697535633982,8.0,2.0,0.0,34.270858097345,-118.45403708233772,14.0,83.0,91345.0,3.0,4.0,34.26594,-118.45945,18496.0,2203.5
Malibu,11295809.0,5.703782474656202,4.0,1.0,1.0,34.03723825856017,-118.78717377664495,14.5,97.0,90265.0,1.0,2.0,34.071909999999995,-118.8499,18116.0,64.9
Rancho Palos Verdes,9489830.0,5.857933154483459,3.0,1.0,1.0,33.75886080708893,-118.39320964168762,31.0,95.0,90275.0,1.0,3.0,33.75545,-118.36393000000001,41804.0,1193.6
San Fernando,16173452.0,6.113682179832232,12.0,2.5,1.0,34.30348334480628,-118.42790435296813,11.0,98.0,91340.0,4.0,8.0,34.28671,-118.4351,34188.0,3904.0
>>>>>>> d97283fe9ecfd38c3810ada71227ffba7ccca7dd
